        t     x(t)     y(t)     z(t)
   0.0000   1.0000   1.0000   1.0000
   0.0100   1.0000   1.2600   0.9833
   0.0200   1.0260   1.5176   0.9697
   0.0300   1.0752   1.7797   0.9594
   0.0400   1.1456   2.0527   0.9530
   0.0500   1.2363   2.3420   0.9511
   0.0600   1.3469   2.6530   0.9547
   0.0700   1.4775   2.9907   0.9649
   0.0800   1.6288   3.3602   0.9834
   0.0900   1.8020   3.7667   1.0119
   0.1000   1.9984   4.2153   1.0528
   0.1100   2.2201   4.7117   1.1090
   0.1200   2.4693   5.2616   1.1840
   0.1300   2.7485   5.8712   1.2823
   0.1400   3.0608   6.5468   1.4095
   0.1500   3.4094   7.2952   1.5723
   0.1600   3.7980   8.1233   1.7791
   0.1700   4.2305   9.0379   2.0402
   0.1800   4.7112  10.0457   2.3681
   0.1900   5.2447  11.1528   2.7782
   0.2000   5.8355  12.3641   3.2891
   0.2100   6.4884  13.6825   3.9229
   0.2200   7.2078  15.1079   4.7060
   0.2300   7.9978  16.6358   5.6695
   0.2400   8.8616  18.2553   6.8488
   0.2500   9.8010  19.9471   8.2839
   0.2600  10.8156  21.6800  10.0180
   0.2700  11.9020  23.4081  12.0956
   0.2800  13.0526  25.0669  14.5591
   0.2900  14.2541  26.5706  17.4428
   0.3000  15.4857  27.8098  20.7650
   0.3100  16.7181  28.6521  24.5178
   0.3200  17.9115  28.9477  28.6541
   0.3300  19.0151  28.5411  33.0750
   0.3400  19.9677  27.2906  37.6201
   0.3500  20.7000  25.0968  42.0662
   0.3600  21.1397  21.9341  46.1395
   0.3700  21.2191  17.8802  49.5459
   0.3800  20.8852  13.1295  52.0187
   0.3900  20.1097   7.9819  53.3737
   0.4000  18.8969   2.7995  53.5555
   0.4100  17.2871  -2.0577  52.6564
   0.4200  15.3527  -6.2995  50.8965
   0.4300  13.1874  -9.7517  48.5721
   0.4400  10.8935 -12.3671  45.9908
   0.4500   8.5675 -14.2033  43.4172
   0.4600   6.2904 -15.3821  41.0425
   0.4700   4.1231 -16.0487  38.9805
   0.4800   2.1059 -16.3410  37.2793
   0.4900   0.2613 -16.3730  35.9410
   0.5000  -1.4022 -16.2300  34.9398
   0.5100  -2.8850 -15.9704  34.2357
   0.5200  -4.1935 -15.6308  33.7835
   0.5300  -5.3372 -15.2320  33.5380
   0.5400  -6.3267 -14.7841  33.4567
   0.5500  -7.1724 -14.2910  33.4998
   0.5600  -7.8843 -13.7536  33.6315
   0.5700  -8.4712 -13.1721  33.8190
   0.5800  -8.9413 -12.5474  34.0330
   0.5900  -9.3019 -11.8825  34.2474
   0.6000  -9.5600 -11.1826  34.4394
   0.6100  -9.7222 -10.4551  34.5901
   0.6200  -9.7955  -9.7099  34.6842
   0.6300  -9.7870  -8.9580  34.7104
   0.6400  -9.7041  -8.2117  34.6615
   0.6500  -9.5548  -7.4831  34.5341
   0.6600  -9.3477  -6.7840  34.3282
   0.6700  -9.0913  -6.1246  34.0469
   0.6800  -8.7946  -5.5136  33.6958
   0.6900  -8.4665  -4.9576  33.2821
   0.7000  -8.1156  -4.4608  32.8143
   0.7100  -7.7501  -4.0255  32.3013
   0.7200  -7.3777  -3.6518  31.7519
   0.7300  -7.0051  -3.3385  31.1746
   0.7400  -6.6384  -3.0827  30.5772
   0.7500  -6.2829  -2.8808  29.9664
   0.7600  -5.9427  -2.7285  29.3483
   0.7700  -5.6212  -2.6211  28.7278
   0.7800  -5.3212  -2.5539  28.1091
   0.7900  -5.0445  -2.5226  27.4954
   0.8000  -4.7923  -2.5228  26.8895
   0.8100  -4.5654  -2.5508  26.2933
   0.8200  -4.3639  -2.6032  25.7086
   0.8300  -4.1878  -2.6772  25.1367
   0.8400  -4.0368  -2.7703  24.5785
   0.8500  -3.9101  -2.8807  24.0349
   0.8600  -3.8072  -3.0070  23.5066
   0.8700  -3.7272  -3.1480  22.9942
   0.8800  -3.6693  -3.3031  22.4984
   0.8900  -3.6326  -3.4719  22.0196
   0.9000  -3.6166  -3.6544  21.5585
   0.9100  -3.6204  -3.8509  21.1158
   0.9200  -3.6434  -4.0616  20.6921
   0.9300  -3.6852  -4.2872  20.2883
   0.9400  -3.7454  -4.5285  19.9053
   0.9500  -3.8237  -4.7864  19.5441
   0.9600  -3.9200  -5.0619  19.2060
   0.9700  -4.0342  -5.3560  18.8922
   0.9800  -4.1664  -5.6699  18.6045
   0.9900  -4.3167  -6.0046  18.3446
   1.0000  -4.4855  -6.3614  18.1146
   1.0100  -4.6731  -6.7412  17.9169
   1.0200  -4.8799  -7.1450  17.7541
   1.0300  -5.1064  -7.5735  17.6294
   1.0400  -5.3531  -8.0273  17.5460
   1.0500  -5.6205  -8.5067  17.5078
   1.0600  -5.9092  -9.0113  17.5191
   1.0700  -6.2194  -9.5405  17.5844
   1.0800  -6.5515 -10.0929  17.7088
   1.0900  -6.9056 -10.6662  17.8978
   1.1000  -7.2817 -11.2572  18.1571
   1.1100  -7.6792 -11.8613  18.4926
   1.1200  -8.0975 -12.4728  18.9104
   1.1300  -8.5350 -13.0841  19.4161
   1.1400  -8.9899 -13.6859  20.0150
   1.1500  -9.4595 -14.2669  20.7117
   1.1600  -9.9402 -14.8137  21.5089
   1.1700 -10.4276 -15.3108  22.4079
   1.1800 -10.9159 -15.7408  23.4069
   1.1900 -11.3984 -16.0848  24.5009
   1.2000 -11.8670 -16.3227  25.6810
   1.2100 -12.3126 -16.4347  26.9332
   1.2200 -12.7248 -16.4017  28.2385
   1.2300 -13.0925 -16.2074  29.5726
   1.2400 -13.4040 -15.8394  30.9059
   1.2500 -13.6475 -15.2915  32.2049
   1.2600 -13.8119 -14.5647  33.4330
   1.2700 -13.8872 -13.6687  34.5531
   1.2800 -13.8654 -12.6219  35.5299
   1.2900 -13.7410 -11.4517  36.3325
   1.3000 -13.5121 -10.1922  36.9372
   1.3100 -13.1801  -8.8827  37.3294
   1.3200 -12.7504  -7.5642  37.5047
   1.3300 -12.2317  -6.2767  37.4690
   1.3400 -11.6362  -5.0557  37.2376
   1.3500 -10.9782  -3.9302  36.8329
   1.3600 -10.2734  -2.9212  36.2821
   1.3700  -9.5382  -2.0412  35.6147
   1.3800  -8.7885  -1.2945  34.8597
   1.3900  -8.0391  -0.6787  34.0439
   1.4000  -7.3030  -0.1860  33.1906
   1.4100  -6.5913   0.1949  32.3191
   1.4200  -5.9127   0.4777  31.4444
   1.4300  -5.2737   0.6765  30.5776
   1.4400  -4.6786   0.8057  29.7266
   1.4500  -4.1302   0.8784  28.8962
   1.4600  -3.6293   0.9067  28.0893
   1.4700  -3.1757   0.9008  27.3074
   1.4800  -2.7681   0.8698  26.5505
   1.4900  -2.4043   0.8210  25.8185
   1.5000  -2.0818   0.7604  25.1102
   1.5100  -1.7975   0.6926  24.4248
   1.5200  -1.5485   0.6214  23.7610
   1.5300  -1.3315   0.5495  23.1178
   1.5400  -1.1434   0.4790  22.4940
   1.5500  -0.9812   0.4113  21.8887
   1.5600  -0.8419   0.3472  21.3009
   1.5700  -0.7230   0.2873  20.7300
   1.5800  -0.6220   0.2319  20.1751
   1.5900  -0.5366   0.1809  19.6357
   1.6000  -0.4648   0.1342  19.1111
   1.6100  -0.4049   0.0916  18.6008
   1.6200  -0.3553   0.0526  18.1044
   1.6300  -0.3145   0.0169  17.6214
   1.6400  -0.2814  -0.0159  17.1515
   1.6500  -0.2548  -0.0463  16.6942
   1.6600  -0.2340  -0.0746  16.2491
   1.6700  -0.2180  -0.1014  15.8160
   1.6800  -0.2064  -0.1269  15.3944
   1.6900  -0.1984  -0.1517  14.9842
   1.7000  -0.1937  -0.1760  14.5849
   1.7100  -0.1920  -0.2002  14.1963
   1.7200  -0.1928  -0.2247  13.8181
   1.7300  -0.1960  -0.2498  13.4501
   1.7400  -0.2014  -0.2758  13.0919
   1.7500  -0.2088  -0.3031  12.7433
   1.7600  -0.2182  -0.3319  12.4041
   1.7700  -0.2296  -0.3626  12.0741
   1.7800  -0.2429  -0.3955  11.7529
   1.7900  -0.2582  -0.4310  11.4405
   1.8000  -0.2754  -0.4695  11.1365
   1.8100  -0.2948  -0.5112  10.8408
   1.8200  -0.3165  -0.5567  10.5533
   1.8300  -0.3405  -0.6064  10.2736
   1.8400  -0.3671  -0.6607  10.0017
   1.8500  -0.3965  -0.7201   9.7374
   1.8600  -0.4288  -0.7853   9.4806
   1.8700  -0.4645  -0.8569   9.2312
   1.8800  -0.5037  -0.9355   8.9890
   1.8900  -0.5469  -1.0219   8.7540
   1.9000  -0.5944  -1.1169   8.5261
   1.9100  -0.6466  -1.2215   8.3054
   1.9200  -0.7041  -1.3367   8.0918
   1.9300  -0.7674  -1.4635   7.8855
   1.9400  -0.8370  -1.6032   7.6864
   1.9500  -0.9136  -1.7572   7.4949
   1.9600  -0.9980  -1.9270   7.3111
   1.9700  -1.0909  -2.1142   7.1353
   1.9800  -1.1932  -2.3206   6.9681
   1.9900  -1.3059  -2.5484   6.8100
   2.0000  -1.4302  -2.7996   6.6617
   2.0100  -1.5671  -3.0768   6.5241
   2.0200  -1.7181  -3.3826   6.3983
   2.0300  -1.8845  -3.7199   6.2858
   2.0400  -2.0681  -4.0919   6.1883
   2.0500  -2.2705  -4.5021   6.1079
   2.0600  -2.4936  -4.9541   6.0472
   2.0700  -2.7397  -5.4520   6.0095
   2.0800  -3.0109  -5.9999   5.9986
   2.0900  -3.3098  -6.6024   6.0193
   2.1000  -3.6391  -7.2639   6.0773
   2.1100  -4.0015  -7.9890   6.1796
   2.1200  -4.4003  -8.7823   6.3345
   2.1300  -4.8385  -9.6478   6.5520
   2.1400  -5.3194 -10.5891   6.8441
   2.1500  -5.8464 -11.6086   7.2249
   2.1600  -6.4226 -12.7071   7.7109
